Station_ID,City,Install_Date,Charger_Type,Daily_Avg_Utilization_Hrs,Avg_Charging_Rate_INR,Electricity_Cost_INR,Total_Energy_Dispensed_kWh,Maintenance_Incidents,Total_Maintenance_Cost_INR,Operational_Status,Install_Cost_INR,Total_Revenue,Total_Operational_Cost,Net_Profit,ROI
EV-0001,Hyderabad,2023-10-17,L2,4.11,20.93,7.17,75105.48,6,22618.01,Active,226092.86,1571957.7,561124.3,1010833.4,447.09
EV-0002,Kochi,2022-04-25,DCFC,4.12,17.49,8.58,36252.31,6,11685.22,Active,1457005.43,634052.9,322730.04,311322.86,21.37
EV-0003,Bangalore,2022-01-26,DCFC,6.89,17.29,7.85,57363.37,4,32122.42,Active,1518838.98,991812.67,482424.87,509387.8,33.54
EV-0004,Kochi,2024-01-30,L2,1.66,17.23,5.94,42837.14,2,15610.4,Active,164965.07,738083.92,270063.01,468020.91,283.71
EV-0005,Kochi,2022-10-09,L2,5.3,20.23,6.41,54918.08,4,11618.16,Active,268306.43,1110992.76,363643.05,747349.71,278.54
EV-0006,Hyderabad,2022-09-08,DCFC,8.29,21.72,7.34,37915.79,6,14425.09,Active,1494138.05,823530.96,292726.99,530803.97,35.53
EV-0007,Bangalore,2022-08-17,L2,6.93,19.66,8.42,68392.35,3,8731.29,Active,292518.52,1344593.6,584594.88,759998.72,259.81
EV-0008,Bangalore,2022-05-23,L2,6.08,18.81,7.34,38196.03,2,16083.67,Active,214307.43,718467.32,296442.53,422024.79,196.92
EV-0009,Bangalore,2024-01-25,L2,6.82,17.61,7.41,20791.41,3,15152.75,Active,161730.85,366136.73,169217.1,196919.63,121.76
EV-0010,Kochi,2022-04-15,L2,5.28,19.16,8.76,80506.71,6,17637.24,Active,168242.85,1542508.56,722876.02,819632.54,487.17
EV-0011,Hyderabad,2023-11-24,DCFC,1.63,16.86,7.44,56637.45,1,19395.76,Active,1574884.11,954907.41,440778.39,514129.02,32.65
EV-0012,Bangalore,2024-01-29,DCFC,15.23,14.63,9.33,33963.1,4,23367.12,Active,1499022.87,496880.15,340242.84,156637.31,10.45
EV-0013,Madurai,2023-07-13,L2,9.18,21.77,9.17,47565.93,5,7618.39,Active,286173.92,1035510.3,443797.97,591712.33,206.77
EV-0014,Chennai,2022-03-31,L2,4.68,16.49,8.02,41347.14,4,19661.82,Active,192247.52,681814.34,351265.88,330548.46,171.94
EV-0015,Coimbatore,2023-08-28,L2,6.12,17.85,8.75,50086.12,2,15073.32,Active,284831.86,894037.24,453326.87,440710.37,154.73
EV-0016,Hyderabad,2023-03-09,L2,5.91,19.81,8.62,62041.71,2,5529.69,Active,266026.03,1229046.28,540329.23,688717.05,258.89
EV-0017,Madurai,2022-02-02,DCFC,7.38,21.37,7.75,59686.69,3,16548.07,Active,1316621.44,1275504.57,479119.92,796384.65,60.49
EV-0018,Madurai,2022-01-31,L2,10.72,19.01,8.86,53805.94,3,16925.62,Active,182105.95,1022850.92,493646.25,529204.67,290.6
EV-0019,Coimbatore,2022-04-06,L2,9.4,16.11,9.01,50078.8,3,13207.6,Active,239354.02,806769.47,464417.59,342351.88,143.03
EV-0020,Hyderabad,2022-08-12,L2,5.56,17.9,7.05,66180.06,6,14010.82,Active,164038.37,1184623.07,480580.24,704042.83,429.19
EV-0021,Kochi,2022-08-27,L2,7.86,17.14,8.15,21118.13,0,15529.84,Active,180342.12,361964.75,187642.6,174322.15,96.66
EV-0022,Chennai,2023-06-02,L2,9.64,18.42,8.14,38766.01,4,17080.63,Active,196485.33,714069.9,332635.95,381433.95,194.13
EV-0023,Hyderabad,2023-09-09,DCFC,7.52,20.96,8.85,35320.06,1,15699.96,Active,1739614.32,740308.46,328282.49,412025.97,23.68
EV-0024,Coimbatore,2022-01-28,L2,6.49,13.43,7.56,65093.87,4,10458.86,Offline,153707.16,874210.67,502568.52,371642.15,241.79
EV-0025,Madurai,2023-07-29,DCFC,7.62,17.68,7.4,38913.61,1,23089.85,Active,1597917.5,687992.62,311050.56,376942.06,23.59
EV-0026,Kochi,2022-07-23,L2,4.74,17.53,8.17,30710.67,1,11670.98,Active,160620.53,538358.05,262577.15,275780.9,171.7
EV-0027,Hyderabad,2024-01-04,L2,5.11,15.99,9.18,58239.91,3,1467.41,Active,206473.53,931256.16,536109.78,395146.38,191.38
EV-0028,Chennai,2023-10-28,L2,3.84,19.67,6.8,36368.79,2,12646.63,Active,162163.44,715374.1,259954.4,455419.7,280.84
EV-0029,Bangalore,2023-12-20,DCFC,13.08,15.67,6.98,44739.1,2,21220.68,Under Maintenance,1546383.85,701061.7,333499.6,367562.1,23.77
EV-0030,Bangalore,2023-07-13,DCFC,11.11,15.9,7.48,85717.16,4,20951.01,Active,1561506.8,1362902.84,662115.37,700787.47,44.88
EV-0031,Kochi,2023-03-06,L2,4.44,20.2,7.66,61807.08,3,6826.1,Under Maintenance,282713.54,1248503.02,480268.33,768234.69,271.74
EV-0032,Hyderabad,2022-08-14,L2,6.09,21.5,6.23,46834.39,3,9859.54,Active,229533.3,1006939.38,301637.79,705301.59,307.28
EV-0033,Hyderabad,2023-04-05,DCFC,7.67,18.35,9.5,48183.08,2,9595.07,Active,1440820.49,884159.52,467334.33,416825.19,28.93
EV-0035,Madurai,2022-10-12,L2,9.03,17.09,7.72,59943.06,4,13691.48,Active,218147.42,1024426.9,476451.9,547975.0,251.19
